Soup Forest: The Story of the Woman Who Speaks with Animals and the Former Mercenary Vol.1,Zilbagias the Demon Prince: How the Seventh Prince Brought Down the Kingdom Volume 1,Exp Is Golden: Volume 1
4,5,3
0,0,0
3,3,3
0,0,0
0,0,0
0,0,4
