Rozemyne (Myne) from Ascendance of a Bookworm,Mia Luna Tearmoon from Tearmoon Empire,Chise from Making Magic: The Sweet Life of a Witch Who Knows an Infinite MP Loophole,Fran from Reincarnated as a Sword,Mimori Touka  from Failure Frame
5,4,3,2,0
5,0,4,4,0
5,3,2,2,2
5,4,0,4,3
4,2,0,5,5
0,0,3,0,0
