Miya Kazuki for Ascendance of a Bookworm,Rarutori for Enough with this Slow Life! I Was Reincarnated as a High Elf and Now I’m Bored,Tomoaki Amagi for Zilbagias the Demon Prince: How the Seventh Prince Brought Down the Kingdom,Hiro Ainana for Death March to the Parallel World Rhapsody,Aloha Zachou for Making Magic: The Sweet Life of a Witch Who Knows an Infinite MP Loophole
5,3,1,4,2
5,0,0,5,4
5,0,0,0,0
5,0,0,4,0
5,0,0,1,0
0,0,0,0,0
