Gervasio from Ascendance of a Bookworm,Georgine from Ascendance of a Bookworm,Erwaermen from Ascendance of a Bookworm,Ferdinand from Ascendance of a Bookworm,Goddess Vicius from Failure Frame
3,4,5,2,0
5,5,4,3,0
5,5,4,4,0
5,4,4,5,0
0,0,5,0,4
0,0,0,0,0
