Hartmut from Ascendance of a Bookworm,Ai Fa from Cooking with Wild Game,Nanos from Didn’t I Say to Make My Abilities Average in the Next Life?!,Karion from Death March to the Parallel World Rhapsody,Luxion from Trapped in a Dating Sim
3,5,2,4,0
5,0,4,5,0
5,0,0,0,0
5,0,5,4,5
3,0,3,1,5
0,0,0,0,0
