RuriDragon,Tsumiki Ogami & the Strange Everyday Life / Ogami Tsumiki to Kinichijou,Gal Can't Be Kind to Otaku!? / Otaku ni Yasashii Gal wa Inai!?,SPY×FAMILY,The Demon King's Daughter Is Too Kind!! / Maou no Musume wa Yasashi Sugiru!!
0,0,0,3,0
0,0,0,0,0
0,0,4,3,5
0,0,4,4,5
5,4,0,0,0
4,5,3,0,3
5,4,4,2,3
5,4,0,2,0
0,0,0,0,0
0,0,0,0,0
4,3,3,5,3
5,3,0,4,0
5,5,3,3,5
2,2,3,2,2
0,0,0,0,0
0,0,0,5,0
5,3,1,5,1
2,4,4,3,2
5,3,4,4,5
0,0,0,0,0
0,0,0,0,0
5,5,2,2,2
5,0,0,0,0
