Mieruko-chan,Oshi no Ko,Miyu-chan Will Always Be Your Friend / Miyu-chan wa Zutto Tomodachi,MAD,The Summer Hikaru Died / Hikaru ga Shinda Natsu
0,0,0,0,0
0,0,0,5,0
5,0,0,0,0
5,1,0,0,0
4,0,0,0,0
3,5,4,0,0
2,2,2,2,2
0,3,0,5,0
5,0,0,0,0
0,0,0,0,0
3,4,3,5,3
0,0,0,0,0
0,0,0,0,0
4,5,2,2,2
0,0,0,0,0
0,5,0,0,0
4,2,2,0,0
0,0,0,0,0
4,3,3,4,3
0,0,0,0,0
0,0,0,0,0
0,4,4,0,0
3,0,0,0,5
