The Apothecary Diaries / Kusuriya no Hitorigoto,Tales Of Akane / Akane-banashi,Vinland Saga,Love Bullet,Villains Are Destined to Die
5,0,4,4,0
0,0,0,0,0
4,0,4,0,0
4,0,2,5,0
0,0,0,0,0
4,0,0,5,3
5,3,0,3,5
3,0,5,0,0
5,0,0,0,0
0,0,0,0,0
4,4,5,4,4
5,0,0,0,0
5,5,3,0,0
2,2,2,2,2
0,0,0,0,0
5,0,4,0,3
5,0,0,1,0
0,0,0,0,0
4,4,4,3,4
0,0,5,0,0
0,0,0,0,0
2,1,0,2,5
0,0,0,5,0
